"","config","type","area","diff","rel_growth","P"
"1","fvac","Press",41.511696167935,0.551696167935027,0.0134691447249763,0.0075
"2","fvac","Press",41.65407150383,0.69407150383001,0.0169451050739748,0.01
"3","fvac","Press",41.783295844265,0.823295844264997,0.0200999961978759,0.0125
"4","fvac","Press",41.901845489655,0.94184548965498,0.0229942746497798,0.015
"5","fvac","Press",42.01151495769,1.05151495769,0.0256717518967284,0.0175
"6","fvac","Press",42.11372618219,1.15372618218996,0.028167143119872,0.02
"7","fvac","Press",42.2094257728999,1.24942577289992,0.0305035589086894,0.0225
"8","fvac","Press",42.29962026014,1.33962026013998,0.0327055727573237,0.025
"9","fvac","Press",42.38482754201,1.42482754201001,0.0347858286623539,0.0275
"10","fvac","Press",42.4659062979101,1.50590629791006,0.0367652904763198,0.03
"11","fvac","Press",42.54736274153,1.58736274153004,0.0387539731818856,0.0325
"12","fvac","Press",42.621242488935,1.661242488935,0.0405576779525147,0.035
"13","fvac","Press",42.70194880677,1.74194880676998,0.0425280470402826,0.0375
"14","fvac","Press",42.770220857915,1.81022085791497,0.0441948451639397,0.04
"15","fvac","Press",42.84379932565,1.88379932564997,0.0459911944738761,0.0425
"16","fvac","Press",42.91209272976,1.95209272975999,0.047658513910156,0.045
"17","fvac","Press",42.97539438375,2.01539438375001,0.0492039644470216,0.0475
"18","fvac","Press",43.04449270228,2.08449270228001,0.050890935114258,0.05
"19","fvac","Press",43.10673853785,2.14673853785002,0.052410608834229,0.0525
"20","fvac","Press",43.18365484445,2.22365484445,0.05428844835083,0.055
"21","fvac","Press",43.2386039855,2.27860398550003,0.0556299801147469,0.0575
"22","fvac","Press",43.3216348145001,2.36163481450005,0.0576570999633801,0.06
"23","fvac","Press",43.380218943,2.42021894299999,0.0590873765380858,0.0625
"24","fvac","Press",43.4356453685,2.47564536849998,0.0604405607543941,0.065
"25","fvac","Press",43.48415056,2.52415055999997,0.0616247695312494,0.0675
"26","fvac","Press",43.5387633735,2.57876337349999,0.0629580901733396,0.07
"27","fvac","Press",43.584517992,2.62451799199999,0.0640751462890622,0.0725
"28","fvac","Press",43.634735584,2.674735584,0.0653011617187499,0.075
"29","fvac","Press",43.6802119575,2.7202119575,0.0664114247436523,0.0775
"30","hvac","Press",41.3660723470716,0.406072347071557,0.00991387566092669,0.0075
"31","hvac","Press",41.48158488752,0.521584887520021,0.0127340060429693,0.01
"32","hvac","Press",41.58947930617,0.629479306169983,0.0153681471232906,0.0125
"33","hvac","Press",41.6908068016999,0.730806801699934,0.0178419629321273,0.015
"34","hvac","Press",41.7863780630299,0.826378063029935,0.0201752456794418,0.0175
"35","hvac","Press",41.877006533535,0.917006533534995,0.0223878548226317,0.02
"36","hvac","Press",41.96310222466,1.00310222465996,0.0244898004067373,0.0225
"37","hvac","Press",42.045280761425,1.08528076142498,0.0264961123394771,0.025
"38","hvac","Press",42.12397254654,1.16397254653997,0.0284172984995109,0.0275
"39","hvac","Press",42.19945319464,1.23945319463999,0.0302600877597654,0.03
"40","hvac","Press",42.27201768366,1.31201768365997,0.0320316817299798,0.0325
"41","hvac","Press",42.34202564245,1.38202564244998,0.0337408604113765,0.035
"42","hvac","Press",42.40959905315,1.44959905314996,0.0353906018835439,0.0375
"43","hvac","Press",42.475076206445,1.51507620644496,0.0369891651964101,0.04
"44","hvac","Press",42.53846060161,1.57846060160998,0.0385366357814937,0.0425
"45","hvac","Press",42.599984561545,1.63998456154497,0.040038685584594,0.045
"46","hvac","Press",42.6598406906,1.69984069059999,0.0415000168603513,0.0475
"47","hvac","Press",42.71806088928,1.75806088928001,0.0429214084296877,0.05
"48","hvac","Press",42.774819016335,1.81481901633502,0.0443071048909916,0.0525
"49","hvac","Press",42.83021915448,1.87021915448004,0.0456596473261728,0.055
"50","hvac","Press",42.88431674244,1.92431674244,0.0469803892197265,0.0575
"51","hvac","Press",42.93714251445,1.97714251445001,0.0482700809191897,0.06
"52","hvac","Press",42.98888554925,2.02888554924998,0.0495333386047358,0.0625
"53","hvac","Press",43.03952197359,2.07952197358995,0.0507695794333483,0.065
"54","hvac","Press",43.089161271895,2.12916127189499,0.0519814763646239,0.0675
"55","hvac","Press",43.13789601315,2.17789601314996,0.053171289383544,0.07
"56","hvac","Press",43.1856178113,2.22561781129998,0.054336372346191,0.0725
"57","hvac","Press",43.23259440034,2.27259440034,0.0554832617270509,0.075
"58","hvac","Press",43.27874176339,2.31874176339001,0.0566099063327639,0.0775
"59","hvac","Press",43.3240663204,2.36406632040001,0.0577164629003908,0.08
